date,AB,BC,CV,HD,POW,SB,CTM
2015-03-28,216,259,126,135,26,121,142
2015-03-29,194,236,108,144,39,103,130
2015-03-30,190,237,130,128,34,121,141
2015-03-31,195,268,125,137,39,136,136
2015-04-01,184,290,147,139,37,153,162
2015-04-02,203,253,124,133,33,136,152
2015-04-03,205,251,140,133,46,128,136
2015-04-04,190,251,158,143,48,100,145
2015-04-05,189,254,137,116,32,111,146
2015-04-06,203,265,152,134,33,111,142
2015-04-07,184,269,143,110,48,111,136
2015-04-08,194,269,160,157,43,114,140
2015-04-09,196,282,114,121,33,132,141
2015-04-10,165,262,143,113,43,98,144
2015-04-11,171,224,135,113,33,123,126
2015-04-12,173,233,130,106,50,123,147
2015-04-13,185,264,121,131,44,111,156
2015-04-14,181,253,137,156,45,131,155
2015-04-15,212,287,146,155,40,116,150
2015-04-16,184,268,140,139,37,116,128
2015-04-17,183,241,149,124,44,111,152
2015-04-18,173,266,137,131,43,115,130
2015-04-19,189,252,148,134,35,98,140
2015-04-20,192,288,136,109,39,116,130
2015-04-21,185,243,126,116,39,97,153
2015-04-22,201,259,136,131,37,103,135
2015-04-23,182,249,142,146,32,100,145
2015-04-24,204,253,151,113,34,136,135
2015-04-25,207,242,126,122,38,110,146
2015-04-26,184,244,135,137,43,123,130
2015-04-27,196,226,132,105,45,108,130
2015-04-28,185,258,148,110,41,108,146
2015-04-29,178,260,152,113,50,121,137
2015-04-30,193,282,170,128,50,139,165
2015-05-01,209,262,147,127,46,103,125
2015-05-02,182,299,149,170,41,106,135
2015-05-03,167,242,137,110,35,122,123
2015-05-04,184,286,132,121,28,112,142
2015-05-05,161,254,121,146,49,115,145
2015-05-06,198,263,147,135,45,115,137
2015-05-07,189,308,148,132,38,127,124
2015-05-08,178,275,148,134,38,138,128
2015-05-09,196,240,142,124,31,132,113
2015-05-10,193,283,126,118,41,105,145
2015-05-11,183,262,140,123,40,136,141
2015-05-12,168,253,125,126,45,136,141
2015-05-13,174,248,146,126,55,116,136
2015-05-14,193,281,142,106,29,110,128
2015-05-15,166,238,179,93,34,122,144
2015-05-16,166,235,136,102,43,116,133
2015-05-17,161,226,124,113,34,126,133
2015-05-18,178,208,136,100,39,99,139
2015-05-19,177,266,147,144,40,136,137
2015-05-20,176,257,156,132,43,123,161
2015-05-21,176,285,135,131,43,130,144
2015-05-22,185,253,154,138,46,154,147
2015-05-23,185,258,145,127,44,131,126
2015-05-24,193,273,141,120,41,109,130
2015-05-25,223,281,151,148,52,141,136
2015-05-26,207,307,140,128,55,132,147
2015-05-27,183,292,110,140,49,120,159
2015-05-28,198,282,136,150,45,126,165
2015-05-29,193,277,131,135,32,141,135
2015-05-30,177,277,138,127,43,97,148
2015-05-31,171,280,135,102,33,120,129
2015-06-01,182,268,119,149,31,103,139
2015-06-02,184,270,152,139,45,106,128
2015-06-03,204,268,156,142,37,121,118
2015-06-04,177,264,130,131,41,115,146
2015-06-05,185,254,119,112,48,114,145
2015-06-06,157,248,127,112,38,123,123
2015-06-07,189,212,115,133,38,120,112
2015-06-08,176,251,113,117,43,150,163
2015-06-09,181,263,147,116,29,98,129
2015-06-10,167,252,143,116,38,120,151
2015-06-11,154,252,145,128,29,139,122
2015-06-12,182,226,142,131,33,117,133
2015-06-13,181,246,158,115,20,136,133
2015-06-14,181,249,148,124,40,120,129
2015-06-15,165,271,124,116,40,111,126
2015-06-16,182,264,129,132,37,128,135
2015-06-17,165,263,152,128,61,130,145
2015-06-18,195,269,148,135,45,133,145
2015-06-19,204,263,159,116,50,139,165
2015-06-20,190,260,151,150,39,133,146
2015-06-21,212,244,152,167,50,149,158
2015-06-22,172,233,130,138,41,128,135
2015-06-23,189,251,147,126,40,134,146
2015-06-24,179,281,126,149,34,115,151
2015-06-25,189,280,123,101,41,95,135
2015-06-26,194,260,149,129,51,115,126
2015-06-27,190,247,127,124,49,119,134
2015-06-28,176,237,126,111,27,117,133
2015-06-29,181,230,136,132,46,139,140
2015-06-30,176,271,131,132,39,110,142
2015-07-01,177,276,151,121,44,127,142
2015-07-02,171,258,134,135,44,128,147
2015-07-03,173,268,126,155,43,122,157
2015-07-04,172,257,136,144,59,111,139
2015-07-05,156,203,119,106,22,84,125
2015-07-06,196,282,158,110,35,131,168
2015-07-07,184,259,169,116,55,109,126
2015-07-08,183,275,164,137,50,136,150
2015-07-09,194,279,127,137,50,130,131
2015-07-10,160,249,153,133,38,114,153
2015-07-11,142,227,114,93,22,72,123
2015-07-12,173,253,119,134,49,132,141
2015-07-13,163,251,154,106,34,121,144
2015-07-14,182,263,140,127,44,109,129
2015-07-15,181,292,158,126,50,137,133
2015-07-16,195,287,125,132,50,114,111
2015-07-17,179,287,148,138,43,130,117
2015-07-18,190,292,138,133,50,114,125
2015-07-19,177,287,143,143,44,136,130
2015-07-20,201,247,127,127,41,120,124
2015-07-21,209,254,137,128,43,103,156
2015-07-22,179,254,148,138,39,120,148
2015-07-23,199,242,153,138,51,136,150
2015-07-24,173,276,157,139,49,130,161
2015-07-25,200,275,121,137,45,119,135
2015-07-26,174,233,124,96,31,72,94
2015-07-27,167,243,108,131,32,111,158
2015-07-28,173,285,130,122,33,136,144
2015-07-29,192,259,156,132,39,127,133
2015-07-30,211,282,135,155,38,112,147
2015-07-31,182,276,156,132,37,110,129
2015-08-01,183,296,140,129,33,105,144
2015-08-02,181,263,129,146,31,130,140
2015-08-03,190,242,135,146,31,110,133
2015-08-04,172,249,130,134,49,111,133
2015-08-05,157,286,158,150,38,138,148
2015-08-06,198,287,132,138,43,115,128
2015-08-07,200,262,121,104,61,131,131
2015-08-08,181,259,140,126,41,101,128
2015-08-09,167,212,119,92,24,73,89
2015-08-10,187,287,131,140,44,128,124
2015-08-11,182,255,125,100,37,116,146
2015-08-12,200,266,140,156,33,112,151
2015-08-13,178,277,158,135,57,122,131
2015-08-14,198,276,132,121,37,141,150
2015-08-15,171,258,115,138,24,122,135
2015-08-16,172,225,145,115,41,128,137
2015-08-17,205,248,151,123,46,130,159
2015-08-18,183,269,138,120,29,110,144
2015-08-19,190,270,157,139,41,133,113
2015-08-20,185,248,136,133,49,110,156
2015-08-21,193,266,137,126,46,109,137
2015-08-22,211,246,123,162,51,99,136
2015-08-23,184,260,142,132,38,126,148
2015-08-24,181,224,134,134,40,128,137
2015-08-25,165,241,119,131,41,123,134
2015-08-26,155,254,147,133,35,122,153
2015-08-27,167,274,149,144,48,128,150
2015-08-28,196,329,136,127,39,121,142
2015-08-29,184,291,121,142,52,121,148
2015-08-30,190,246,114,109,38,133,144
2015-08-31,157,251,145,126,29,122,130
2015-09-01,189,269,142,111,50,92,145
2015-09-02,189,273,158,149,32,105,162
2015-09-03,159,248,146,104,39,108,133
2015-09-04,154,242,151,120,52,126,139
2015-09-05,176,263,152,115,40,126,125
2015-09-06,183,262,138,112,26,134,122
2015-09-07,203,224,151,121,39,116,137
2015-09-08,174,248,146,139,38,119,135
2015-09-09,194,276,143,142,31,111,124
2015-09-10,166,302,153,148,43,119,152
2015-09-11,185,253,135,153,49,122,113
2015-09-12,168,237,153,140,43,128,108
2015-09-13,148,221,131,142,46,105,139
2015-09-14,176,253,130,154,50,114,137
2015-09-15,215,290,141,146,38,110,150
2015-09-16,182,237,156,143,37,128,147
2015-09-17,189,288,173,155,38,132,168
2015-09-18,188,283,145,129,44,121,141
2015-09-19,185,274,152,127,38,127,135
2015-09-20,148,183,101,74,34,58,109
2015-09-21,174,247,145,135,46,127,161
2015-09-22,192,226,149,122,70,133,165
2015-09-23,206,270,158,144,45,143,150
2015-09-24,165,307,142,144,52,125,144
2015-09-25,198,249,159,148,39,134,155
2015-09-26,200,247,134,127,48,138,153
2015-09-27,181,180,152,134,43,145,147
2015-09-28,201,262,131,134,55,142,136
2015-09-29,192,305,154,142,66,120,140
2015-09-30,185,275,164,134,50,133,140
2015-10-01,179,228,180,155,39,144,138
2015-10-02,198,281,150,127,24,145,146
2015-10-03,174,277,165,133,44,130,156
2015-10-04,181,325,156,136,38,135,137
2015-10-05,212,282,151,152,47,144,141
2015-10-06,186,287,162,116,59,136,147
2015-10-07,175,270,143,120,52,135,126
2015-10-08,222,266,143,137,49,132,145
2015-10-09,186,267,150,142,46,131,141
2015-10-10,185,308,171,130,31,149,160
2015-10-11,193,271,177,131,37,159,140
2015-10-12,187,260,164,154,41,136,156
2015-10-13,194,224,143,143,47,138,141
2015-10-14,190,261,134,128,30,131,153
2015-10-15,194,273,132,121,39,144,145
2015-10-16,176,272,138,128,53,128,141
2015-10-17,196,307,171,127,59,124,169
2015-10-18,194,307,173,128,42,138,145
2015-10-19,212,296,151,143,49,141,158
2015-10-20,198,276,146,107,40,125,146
2015-10-21,181,274,135,122,48,131,136
